Entity,Code,Day,total_vaccinations
Guam,GUM,2021-02-08,29719
Guam,GUM,2021-02-09,30923
Guam,GUM,2021-02-10,32443
Guam,GUM,2021-02-11,33993
Guam,GUM,2021-02-12,35917
Guam,GUM,2021-02-13,37750
Guam,GUM,2021-02-14,38622
Guam,GUM,2021-02-16,39504
Guam,GUM,2021-02-17,41007
Guam,GUM,2021-02-18,42671
Guam,GUM,2021-02-19,46897
Guam,GUM,2021-02-20,48387
Guam,GUM,2021-02-21,48479
Guam,GUM,2021-02-22,49587
Guam,GUM,2021-02-23,50500
Guam,GUM,2021-02-24,51514
Guam,GUM,2021-02-25,52661
Guam,GUM,2021-02-26,52701
Guam,GUM,2021-02-27,54244
Guam,GUM,2021-02-28,55213
Guam,GUM,2021-03-01,55255
Guam,GUM,2021-03-02,55402
Guam,GUM,2021-03-03,55435
Guam,GUM,2021-03-04,56131
Guam,GUM,2021-03-05,56407
Guam,GUM,2021-03-06,56477
Guam,GUM,2021-03-07,56484
Guam,GUM,2021-03-08,56587
Guam,GUM,2021-03-09,58396
Guam,GUM,2021-03-10,60379
Guam,GUM,2021-03-11,62062
Guam,GUM,2021-03-12,63697
Guam,GUM,2021-03-13,65382
Guam,GUM,2021-03-14,66513
Guam,GUM,2021-03-15,66607
Guam,GUM,2021-03-16,67081
Guam,GUM,2021-03-17,68451
Guam,GUM,2021-03-18,70056
Guam,GUM,2021-03-19,71940
Guam,GUM,2021-03-20,72069
Guam,GUM,2021-03-21,72090
Guam,GUM,2021-03-22,73973
Guam,GUM,2021-03-23,75724
Guam,GUM,2021-03-24,77636
Guam,GUM,2021-03-25,79350
Guam,GUM,2021-03-26,81396
Guam,GUM,2021-03-27,81649
Guam,GUM,2021-03-28,83164
Guam,GUM,2021-03-29,84899
Guam,GUM,2021-03-30,85003
Guam,GUM,2021-03-31,87540
Guam,GUM,2021-04-01,88590
Guam,GUM,2021-04-02,90114
Guam,GUM,2021-04-03,91630
Guam,GUM,2021-04-04,91702
Guam,GUM,2021-04-05,91896
Guam,GUM,2021-04-06,91958
Guam,GUM,2021-04-07,95485
Guam,GUM,2021-04-08,97187
Guam,GUM,2021-04-09,99042
Guam,GUM,2021-04-10,99244
Guam,GUM,2021-04-11,100199
Guam,GUM,2021-04-12,100274
Guam,GUM,2021-04-13,103334
Guam,GUM,2021-04-14,105497
Guam,GUM,2021-04-15,107691
Guam,GUM,2021-04-16,109194
Guam,GUM,2021-04-17,111470
Guam,GUM,2021-04-18,111474
Guam,GUM,2021-04-19,113112
Guam,GUM,2021-04-20,114836
Guam,GUM,2021-04-21,117134
Guam,GUM,2021-04-22,119005
Guam,GUM,2021-04-23,120740
Guam,GUM,2021-04-24,122238
Guam,GUM,2021-04-25,122331
Hawaii,,2021-01-12,33483
Hawaii,,2021-01-13,36605
Hawaii,,2021-01-14,47985
Hawaii,,2021-01-15,46958
Hawaii,,2021-01-19,63954
Hawaii,,2021-01-20,71944
Hawaii,,2021-01-21,79414
Hawaii,,2021-01-22,84793
Hawaii,,2021-01-23,84792
Hawaii,,2021-01-24,84792
Hawaii,,2021-01-25,92092
Hawaii,,2021-01-26,93760
Hawaii,,2021-01-27,97692
Hawaii,,2021-01-28,103944
Hawaii,,2021-01-29,111165
Hawaii,,2021-01-30,120502
Hawaii,,2021-01-31,129267
Hawaii,,2021-02-01,135836
Hawaii,,2021-02-02,137914
Hawaii,,2021-02-03,143686
Hawaii,,2021-02-04,151107
Hawaii,,2021-02-05,169713
Hawaii,,2021-02-06,179059
Hawaii,,2021-02-07,187048
Hawaii,,2021-02-08,194035
Hawaii,,2021-02-09,194035
Hawaii,,2021-02-10,194035
Hawaii,,2021-02-11,200618
Hawaii,,2021-02-12,208807
Hawaii,,2021-02-13,217780
Hawaii,,2021-02-14,225188
Hawaii,,2021-02-16,237172
Hawaii,,2021-02-17,240715
Hawaii,,2021-02-18,247392
Hawaii,,2021-02-19,301369
Hawaii,,2021-02-20,312730
Hawaii,,2021-02-21,322966
Hawaii,,2021-02-22,331321
Hawaii,,2021-02-23,333599
Hawaii,,2021-02-24,339771
Hawaii,,2021-02-25,348897
Hawaii,,2021-02-26,359108
Hawaii,,2021-02-27,370746
Hawaii,,2021-02-28,382798
Hawaii,,2021-03-01,389644
Hawaii,,2021-03-02,392771
Hawaii,,2021-03-03,399195
Hawaii,,2021-03-04,411264
Hawaii,,2021-03-05,421996
Hawaii,,2021-03-06,434343
Hawaii,,2021-03-07,436036
Hawaii,,2021-03-08,452988
Hawaii,,2021-03-09,464100
Hawaii,,2021-03-10,475859
Hawaii,,2021-03-11,489283
Hawaii,,2021-03-12,503482
Hawaii,,2021-03-13,517061
Hawaii,,2021-03-14,528035
Hawaii,,2021-03-15,538235
Hawaii,,2021-03-16,546123
Hawaii,,2021-03-17,559118
Hawaii,,2021-03-18,572716
Hawaii,,2021-03-19,587465
Hawaii,,2021-03-20,599643
Hawaii,,2021-03-21,610517
Hawaii,,2021-03-22,614208
Hawaii,,2021-03-23,621720
Hawaii,,2021-03-24,632086
Hawaii,,2021-03-25,642642
Hawaii,,2021-03-26,659606
Hawaii,,2021-03-27,660902
Hawaii,,2021-03-28,662115
Hawaii,,2021-03-29,685464
Hawaii,,2021-03-30,692706
Hawaii,,2021-03-31,705568
Hawaii,,2021-04-01,717790
Hawaii,,2021-04-02,732136
Hawaii,,2021-04-03,742277
Hawaii,,2021-04-04,757630
Hawaii,,2021-04-05,763772
Hawaii,,2021-04-06,770879
Hawaii,,2021-04-07,784219
Hawaii,,2021-04-08,798942
Hawaii,,2021-04-09,816481
Hawaii,,2021-04-10,817817
Hawaii,,2021-04-11,834817
Hawaii,,2021-04-12,853628
Hawaii,,2021-04-13,864171
Hawaii,,2021-04-14,881413
Hawaii,,2021-04-15,895171
Hawaii,,2021-04-16,911626
Hawaii,,2021-04-17,923883
Hawaii,,2021-04-18,937276
Hawaii,,2021-04-19,943082
Hawaii,,2021-04-20,1075745
Hawaii,,2021-04-21,1089152
Hawaii,,2021-04-22,1104900
Hawaii,,2021-04-23,1118285
Hawaii,,2021-04-24,1135909
Hawaii,,2021-04-25,1155796
Idaho,,2021-01-12,35845
Idaho,,2021-01-13,38872
Idaho,,2021-01-14,42586
Idaho,,2021-01-15,46636
Idaho,,2021-01-19,63975
Idaho,,2021-01-20,69267
Idaho,,2021-01-21,73372
Idaho,,2021-01-22,77988
Idaho,,2021-01-23,82640
Idaho,,2021-01-24,87128
Idaho,,2021-01-25,91271
Idaho,,2021-01-26,93766
Idaho,,2021-01-27,96991
Idaho,,2021-01-28,102800
Idaho,,2021-01-29,108873
Idaho,,2021-01-30,114729
Idaho,,2021-01-31,120880
Idaho,,2021-02-01,124377
Idaho,,2021-02-02,126648
Idaho,,2021-02-03,132384
Idaho,,2021-02-04,141897
Idaho,,2021-02-05,159394
Idaho,,2021-02-06,176220
Idaho,,2021-02-07,185681
Idaho,,2021-02-08,195591
Idaho,,2021-02-09,198826
Idaho,,2021-02-10,205379
Idaho,,2021-02-11,214063
Idaho,,2021-02-12,214063
Idaho,,2021-02-13,221585
Idaho,,2021-02-14,242295
Idaho,,2021-02-16,263625
Idaho,,2021-02-17,270169
Idaho,,2021-02-18,278474
Idaho,,2021-02-19,304647
Idaho,,2021-02-20,313466
Idaho,,2021-02-21,326336
Idaho,,2021-02-22,336243
Idaho,,2021-02-23,340444
Idaho,,2021-02-24,346534
Idaho,,2021-02-25,356987
Idaho,,2021-02-26,367113
Idaho,,2021-02-27,378401
Idaho,,2021-02-28,392370
Idaho,,2021-03-01,404250
Idaho,,2021-03-02,409641
Idaho,,2021-03-03,418956
Idaho,,2021-03-04,428196
Idaho,,2021-03-05,442491
Idaho,,2021-03-06,457434
Idaho,,2021-03-07,471043
Idaho,,2021-03-08,482273
Idaho,,2021-03-09,489220
Idaho,,2021-03-10,497534
Idaho,,2021-03-11,507965
Idaho,,2021-03-12,522505
Idaho,,2021-03-13,536191
Idaho,,2021-03-14,550174
Idaho,,2021-03-15,559659
Idaho,,2021-03-16,566079
Idaho,,2021-03-17,566777
Idaho,,2021-03-18,586497
Idaho,,2021-03-19,603043
Idaho,,2021-03-20,622341
Idaho,,2021-03-21,639606
Idaho,,2021-03-22,650437
Idaho,,2021-03-23,656932
Idaho,,2021-03-24,666389
Idaho,,2021-03-25,678747
Idaho,,2021-03-26,694887
Idaho,,2021-03-27,710876
Idaho,,2021-03-28,728042
Idaho,,2021-03-29,736941
Idaho,,2021-03-30,740943
Idaho,,2021-03-31,752364
Idaho,,2021-04-01,766703
Idaho,,2021-04-02,782576
Idaho,,2021-04-03,799887
Idaho,,2021-04-04,817221
Idaho,,2021-04-05,826653
Idaho,,2021-04-06,828816
Idaho,,2021-04-07,842030
Idaho,,2021-04-08,855028
Idaho,,2021-04-09,873222
Idaho,,2021-04-10,889862
Idaho,,2021-04-11,909981
Idaho,,2021-04-12,920374
Idaho,,2021-04-13,924998
Idaho,,2021-04-14,917256
Idaho,,2021-04-15,929172
Idaho,,2021-04-16,944361
Idaho,,2021-04-17,959118
Idaho,,2021-04-18,974591
Idaho,,2021-04-19,981273
Idaho,,2021-04-20,984868
Idaho,,2021-04-21,994195
Idaho,,2021-04-22,1004155
Idaho,,2021-04-23,1017413
Idaho,,2021-04-24,1029611
Idaho,,2021-04-25,1043295
Illinois,,2021-01-12,347005
Illinois,,2021-01-13,365859
Illinois,,2021-01-14,403666
Illinois,,2021-01-15,437765
Illinois,,2021-01-19,525261
Illinois,,2021-01-20,539926
Illinois,,2021-01-21,570527
Illinois,,2021-01-22,607502
Illinois,,2021-01-23,654752
Illinois,,2021-01-24,699072
Illinois,,2021-01-25,723203
Illinois,,2021-01-26,737989
Illinois,,2021-01-27,766659
Illinois,,2021-01-28,823325
Illinois,,2021-01-29,884502
Illinois,,2021-01-30,948804
Illinois,,2021-01-31,1011454
Illinois,,2021-02-01,1054814
Illinois,,2021-02-02,1073076
Illinois,,2021-02-03,1108571
Illinois,,2021-02-04,1178369
Illinois,,2021-02-05,1247521
Illinois,,2021-02-06,1329963
Illinois,,2021-02-07,1401585
Illinois,,2021-02-08,1457693
Illinois,,2021-02-09,1477780
Illinois,,2021-02-10,1539781
Illinois,,2021-02-11,1604830
Illinois,,2021-02-12,1674988
Illinois,,2021-02-13,1772568
Illinois,,2021-02-14,1854228
Illinois,,2021-02-16,1954382
Illinois,,2021-02-17,1996099
Illinois,,2021-02-18,2037388
Illinois,,2021-02-19,2174539
Illinois,,2021-02-20,2261482
Illinois,,2021-02-21,2339546
Illinois,,2021-02-22,2354395
Illinois,,2021-02-23,2416034
Illinois,,2021-02-24,2461385
Illinois,,2021-02-25,2519447
Illinois,,2021-02-26,2639826
Illinois,,2021-02-27,2735250
Illinois,,2021-02-28,2824209
Illinois,,2021-03-01,2906555
Illinois,,2021-03-02,2958947
Illinois,,2021-03-03,3022385
Illinois,,2021-03-04,3107699
Illinois,,2021-03-05,3204414
Illinois,,2021-03-06,3341021
Illinois,,2021-03-07,3473676
Illinois,,2021-03-08,3571808
Illinois,,2021-03-09,3601065
Illinois,,2021-03-10,3672596
Illinois,,2021-03-11,3777731
Illinois,,2021-03-12,3925271
Illinois,,2021-03-13,4197357
Illinois,,2021-03-14,4197470
Illinois,,2021-03-15,4297923
Illinois,,2021-03-16,4379055
Illinois,,2021-03-17,4469795
Illinois,,2021-03-18,4584510
Illinois,,2021-03-19,4683361
Illinois,,2021-03-20,4826260
Illinois,,2021-03-21,4960792
Illinois,,2021-03-22,5051382
Illinois,,2021-03-23,5096694
Illinois,,2021-03-24,5177472
Illinois,,2021-03-25,5287852
Illinois,,2021-03-26,5412272
Illinois,,2021-03-27,5542211
Illinois,,2021-03-28,5682011
Illinois,,2021-03-29,5793846
Illinois,,2021-03-30,5843688
Illinois,,2021-03-31,5932882
Illinois,,2021-04-01,6073419
Illinois,,2021-04-02,6192219
Illinois,,2021-04-03,6340870
Illinois,,2021-04-04,6488477
Illinois,,2021-04-05,6592898
Illinois,,2021-04-06,6627939
Illinois,,2021-04-07,6725817
Illinois,,2021-04-08,6860904
Illinois,,2021-04-09,7017850
Illinois,,2021-04-10,7185009
Illinois,,2021-04-11,7363280
Illinois,,2021-04-12,7495849
Illinois,,2021-04-13,7626668
Illinois,,2021-04-14,7582133
Illinois,,2021-04-15,7723702
Illinois,,2021-04-16,7855924
Illinois,,2021-04-17,8027611
Illinois,,2021-04-18,8189755
Illinois,,2021-04-19,8306266
Illinois,,2021-04-20,8371979
Illinois,,2021-04-21,8455483
Illinois,,2021-04-22,8606345
Illinois,,2021-04-23,8741918
Illinois,,2021-04-24,8880236
Illinois,,2021-04-25,9011738
Indian Health Svc,,2021-01-12,68387
Indian Health Svc,,2021-01-13,74462
Indian Health Svc,,2021-01-14,81726
Indian Health Svc,,2021-01-15,90245
Indian Health Svc,,2021-01-19,104140
Indian Health Svc,,2021-01-20,108975
Indian Health Svc,,2021-01-21,117297
Indian Health Svc,,2021-01-22,123534
Indian Health Svc,,2021-01-23,143678
Indian Health Svc,,2021-01-24,153784
Indian Health Svc,,2021-01-25,155529
Indian Health Svc,,2021-01-26,158282
Indian Health Svc,,2021-01-27,165764
Indian Health Svc,,2021-01-28,180226
Indian Health Svc,,2021-01-29,191109
Indian Health Svc,,2021-01-30,194962
Indian Health Svc,,2021-01-31,209747
Indian Health Svc,,2021-02-01,210664
Indian Health Svc,,2021-02-02,214183
Indian Health Svc,,2021-02-03,224095
Indian Health Svc,,2021-02-04,238594
Indian Health Svc,,2021-02-05,244323
Indian Health Svc,,2021-02-06,276062
Indian Health Svc,,2021-02-07,282039
Indian Health Svc,,2021-02-08,291338
Indian Health Svc,,2021-02-09,297375
Indian Health Svc,,2021-02-10,306717
Indian Health Svc,,2021-02-11,325336
Indian Health Svc,,2021-02-12,346969
Indian Health Svc,,2021-02-13,362802
Indian Health Svc,,2021-02-14,378614
Indian Health Svc,,2021-02-16,385284
Indian Health Svc,,2021-02-17,390833
Indian Health Svc,,2021-02-18,401516
Indian Health Svc,,2021-02-19,407039
Indian Health Svc,,2021-02-20,412073
Indian Health Svc,,2021-02-21,426034
Indian Health Svc,,2021-02-22,441876
Indian Health Svc,,2021-02-23,455371
Indian Health Svc,,2021-02-24,468627
Indian Health Svc,,2021-02-25,488731
Indian Health Svc,,2021-02-26,516471
Indian Health Svc,,2021-02-27,537180
Indian Health Svc,,2021-02-28,553652
Indian Health Svc,,2021-03-01,569259
Indian Health Svc,,2021-03-02,577710
Indian Health Svc,,2021-03-03,588253
Indian Health Svc,,2021-03-04,603339
Indian Health Svc,,2021-03-05,620761
Indian Health Svc,,2021-03-06,642492
Indian Health Svc,,2021-03-07,655254
Indian Health Svc,,2021-03-08,665997
Indian Health Svc,,2021-03-09,669504
Indian Health Svc,,2021-03-10,684185
Indian Health Svc,,2021-03-11,697130
Indian Health Svc,,2021-03-12,715356
Indian Health Svc,,2021-03-13,733344
Indian Health Svc,,2021-03-14,746005
Indian Health Svc,,2021-03-15,757075
Indian Health Svc,,2021-03-16,768056
Indian Health Svc,,2021-03-17,781325
Indian Health Svc,,2021-03-18,799030
Indian Health Svc,,2021-03-19,814515
Indian Health Svc,,2021-03-20,827880
Indian Health Svc,,2021-03-21,845754
Indian Health Svc,,2021-03-22,857036
Indian Health Svc,,2021-03-23,860107
Indian Health Svc,,2021-03-24,876022
Indian Health Svc,,2021-03-25,886247
Indian Health Svc,,2021-03-26,903716
Indian Health Svc,,2021-03-27,919115
Indian Health Svc,,2021-03-28,940544
Indian Health Svc,,2021-03-29,945805
Indian Health Svc,,2021-03-30,948459
Indian Health Svc,,2021-03-31,964050
Indian Health Svc,,2021-04-01,980337
Indian Health Svc,,2021-04-02,995251
Indian Health Svc,,2021-04-03,1008639
Indian Health Svc,,2021-04-04,1025958
Indian Health Svc,,2021-04-05,1027727
Indian Health Svc,,2021-04-06,1031205
Indian Health Svc,,2021-04-07,1042543
Indian Health Svc,,2021-04-08,1055456
Indian Health Svc,,2021-04-09,1069111
Indian Health Svc,,2021-04-10,1082899
Indian Health Svc,,2021-04-11,1091286
Indian Health Svc,,2021-04-12,1094904
Indian Health Svc,,2021-04-13,1099623
Indian Health Svc,,2021-04-14,1111526
Indian Health Svc,,2021-04-15,1124678
Indian Health Svc,,2021-04-16,1137200
Indian Health Svc,,2021-04-17,1150362
Indian Health Svc,,2021-04-18,1160071
Indian Health Svc,,2021-04-19,1161408
Indian Health Svc,,2021-04-20,1164071
Indian Health Svc,,2021-04-21,1174252
Indian Health Svc,,2021-04-22,1183392
Indian Health Svc,,2021-04-23,1195580
Indian Health Svc,,2021-04-24,1205018
Indian Health Svc,,2021-04-25,1214809
Indiana,,2021-01-12,191844
Indiana,,2021-01-13,211334
Indiana,,2021-01-14,233488
Indiana,,2021-01-15,260310
Indiana,,2021-01-19,334686
Indiana,,2021-01-20,356385
Indiana,,2021-01-21,387137
Indiana,,2021-01-22,414127
Indiana,,2021-01-23,446029
Indiana,,2021-01-24,446029
Indiana,,2021-01-25,491856
Indiana,,2021-01-26,498824
Indiana,,2021-01-27,524180
Indiana,,2021-01-28,552144
Indiana,,2021-01-29,581322
Indiana,,2021-01-30,607185
Indiana,,2021-01-31,607185
Indiana,,2021-02-01,607185
Indiana,,2021-02-02,612289
Indiana,,2021-02-03,637745
Indiana,,2021-02-04,671191
Indiana,,2021-02-05,710888
Indiana,,2021-02-06,749771
Indiana,,2021-02-07,749771
Indiana,,2021-02-08,749771
Indiana,,2021-02-09,761070
Indiana,,2021-02-10,795702
Indiana,,2021-02-11,832031
Indiana,,2021-02-12,873568
Indiana,,2021-02-13,1018783
Indiana,,2021-02-14,1058874
Indiana,,2021-02-16,1091762
Indiana,,2021-02-17,1113413
Indiana,,2021-02-18,1125976
Indiana,,2021-02-19,1194094
Indiana,,2021-02-20,1234416
Indiana,,2021-02-21,1269839
Indiana,,2021-02-22,1292340
Indiana,,2021-02-23,1298877
Indiana,,2021-02-24,1361053
Indiana,,2021-02-25,1459296
Indiana,,2021-02-26,1505040
Indiana,,2021-02-27,1551945
Indiana,,2021-02-28,1590344
Indiana,,2021-03-01,1615149
Indiana,,2021-03-02,1624577
Indiana,,2021-03-03,1657664
Indiana,,2021-03-04,1697536
Indiana,,2021-03-05,1748623
Indiana,,2021-03-06,1800802
Indiana,,2021-03-07,1844669
Indiana,,2021-03-08,1879649
Indiana,,2021-03-09,1892845
Indiana,,2021-03-10,1934412
Indiana,,2021-03-11,1979075
Indiana,,2021-03-12,2030306
Indiana,,2021-03-13,2127154
Indiana,,2021-03-14,2127229
Indiana,,2021-03-15,2160312
Indiana,,2021-03-16,2170644
Indiana,,2021-03-17,2206988
Indiana,,2021-03-18,2252443
Indiana,,2021-03-19,2304432
Indiana,,2021-03-20,2360942
Indiana,,2021-03-21,2406866
Indiana,,2021-03-22,2437519
Indiana,,2021-03-23,2447336
Indiana,,2021-03-24,2488889
Indiana,,2021-03-25,2540707
Indiana,,2021-03-26,2598661
Indiana,,2021-03-27,2655132
Indiana,,2021-03-28,2700392
Indiana,,2021-03-29,2734813
Indiana,,2021-03-30,2744163
Indiana,,2021-03-31,2787166
Indiana,,2021-04-01,2840511
Indiana,,2021-04-02,2903944
Indiana,,2021-04-03,2972415
Indiana,,2021-04-04,3016801
Indiana,,2021-04-05,3048583
Indiana,,2021-04-06,3057121
Indiana,,2021-04-07,3099903
Indiana,,2021-04-08,3158259
Indiana,,2021-04-09,3229355
Indiana,,2021-04-10,3301186
Indiana,,2021-04-11,3361921
Indiana,,2021-04-12,3412179
Indiana,,2021-04-13,3431284
Indiana,,2021-04-14,3443028
Indiana,,2021-04-15,3509410
Indiana,,2021-04-16,3575816
Indiana,,2021-04-17,3634597
Indiana,,2021-04-18,3685577
Indiana,,2021-04-19,3713772
Indiana,,2021-04-20,3726846
Indiana,,2021-04-21,3764137
Indiana,,2021-04-22,3811526
Indiana,,2021-04-23,3863663
Indiana,,2021-04-24,3914185
Indiana,,2021-04-25,3956117
Iowa,,2021-01-12,98691
Iowa,,2021-01-13,112093
Iowa,,2021-01-14,112093
Iowa,,2021-01-15,120983
Iowa,,2021-01-19,144955
Iowa,,2021-01-20,149850
Iowa,,2021-01-21,158743
Iowa,,2021-01-22,170607
Iowa,,2021-01-23,180110
Iowa,,2021-01-24,191183
Iowa,,2021-01-25,196203
Iowa,,2021-01-26,197982
Iowa,,2021-01-27,204196
Iowa,,2021-01-28,212497
Iowa,,2021-01-29,224347
Iowa,,2021-01-30,237874
Iowa,,2021-01-31,252202
Iowa,,2021-02-01,257468
Iowa,,2021-02-02,259522
Iowa,,2021-02-03,266777
Iowa,,2021-02-04,279252
Iowa,,2021-02-05,293377
Iowa,,2021-02-06,308527
Iowa,,2021-02-07,328412
Iowa,,2021-02-08,345350
Iowa,,2021-02-09,351803
Iowa,,2021-02-10,368759
Iowa,,2021-02-11,387370
Iowa,,2021-02-12,408578
Iowa,,2021-02-13,432473
Iowa,,2021-02-14,456512
Iowa,,2021-02-16,485710
Iowa,,2021-02-17,495487
Iowa,,2021-02-18,507650
Iowa,,2021-02-19,552706
Iowa,,2021-02-20,577374
Iowa,,2021-02-21,599489
Iowa,,2021-02-22,611188
Iowa,,2021-02-23,614928
Iowa,,2021-02-24,621717
Iowa,,2021-02-25,631160
Iowa,,2021-02-26,654074
Iowa,,2021-02-27,684596
Iowa,,2021-02-28,713054
Iowa,,2021-03-01,734845
Iowa,,2021-03-02,740713
Iowa,,2021-03-03,753860
Iowa,,2021-03-04,773314
Iowa,,2021-03-05,801113
Iowa,,2021-03-06,861247
Iowa,,2021-03-07,906470
Iowa,,2021-03-08,940050
Iowa,,2021-03-09,952377
Iowa,,2021-03-10,969877
Iowa,,2021-03-11,999390
Iowa,,2021-03-12,1034296
Iowa,,2021-03-13,1114523
Iowa,,2021-03-14,1114556
Iowa,,2021-03-15,1145079
Iowa,,2021-03-16,1155003
Iowa,,2021-03-17,1155384
Iowa,,2021-03-18,1182560
Iowa,,2021-03-19,1225964
Iowa,,2021-03-20,1265775
Iowa,,2021-03-21,1302395
Iowa,,2021-03-22,1324891
Iowa,,2021-03-23,1333747
Iowa,,2021-03-24,1346156
Iowa,,2021-03-25,1369302
Iowa,,2021-03-26,1402543
Iowa,,2021-03-27,1445223
Iowa,,2021-03-28,1488820
Iowa,,2021-03-29,1514487
Iowa,,2021-03-30,1525091
Iowa,,2021-03-31,1539664
Iowa,,2021-04-01,1567904
Iowa,,2021-04-02,1605295
Iowa,,2021-04-03,1687691
Iowa,,2021-04-04,1688053
Iowa,,2021-04-05,1706823
Iowa,,2021-04-06,1716227
Iowa,,2021-04-07,1732177
Iowa,,2021-04-08,1765354
Iowa,,2021-04-09,1807025
Iowa,,2021-04-10,1854009
Iowa,,2021-04-11,1905355
Iowa,,2021-04-12,1927000
Iowa,,2021-04-13,1938454
Iowa,,2021-04-14,1970222
Iowa,,2021-04-15,2001742
Iowa,,2021-04-16,2034594
Iowa,,2021-04-17,2070119
Iowa,,2021-04-18,2102984
Iowa,,2021-04-19,2125941
Iowa,,2021-04-20,2132028
Iowa,,2021-04-21,2149867
Iowa,,2021-04-22,2176895
Iowa,,2021-04-23,2208348
Iowa,,2021-04-24,2242261
Iowa,,2021-04-25,2277047
Kansas,,2021-01-12,78268
Kansas,,2021-01-13,85650
Kansas,,2021-01-14,91565
Kansas,,2021-01-15,97779
Kansas,,2021-01-19,118434
Kansas,,2021-01-20,122705
Kansas,,2021-01-21,130434
Kansas,,2021-01-22,137094
Kansas,,2021-01-23,144909
Kansas,,2021-01-24,151249
Kansas,,2021-01-25,154719
Kansas,,2021-01-26,158743
Kansas,,2021-01-27,168392
Kansas,,2021-01-28,190301
Kansas,,2021-01-29,190540
Kansas,,2021-01-30,206520
Kansas,,2021-01-31,221469
Kansas,,2021-02-01,226895
Kansas,,2021-02-02,231201
Kansas,,2021-02-03,241156
Kansas,,2021-02-04,251425
Kansas,,2021-02-05,263624
Kansas,,2021-02-06,280252
Kansas,,2021-02-07,296284
Kansas,,2021-02-08,303094
Kansas,,2021-02-09,305574
Kansas,,2021-02-10,319662
Kansas,,2021-02-11,332923
Kansas,,2021-02-12,350741
Kansas,,2021-02-13,367891
Kansas,,2021-02-14,389983
Kansas,,2021-02-16,397247
Kansas,,2021-02-17,405166
Kansas,,2021-02-18,417825
Kansas,,2021-02-19,466718
Kansas,,2021-02-20,488738
Kansas,,2021-02-21,509332
Kansas,,2021-02-22,514728
Kansas,,2021-02-23,517379
Kansas,,2021-02-24,530904
Kansas,,2021-02-25,542433
Kansas,,2021-02-26,560776
Kansas,,2021-02-27,583498
Kansas,,2021-02-28,609765
Kansas,,2021-03-01,620939
Kansas,,2021-03-02,629548
Kansas,,2021-03-03,644921
Kansas,,2021-03-04,661143
Kansas,,2021-03-05,683046
Kansas,,2021-03-06,707897
Kansas,,2021-03-07,734335
Kansas,,2021-03-08,742945
Kansas,,2021-03-09,751652
Kansas,,2021-03-10,769636
Kansas,,2021-03-11,796242
Kansas,,2021-03-12,847260
Kansas,,2021-03-13,850639
Kansas,,2021-03-14,900500
Kansas,,2021-03-15,909577
Kansas,,2021-03-16,917107
Kansas,,2021-03-17,931281
Kansas,,2021-03-18,959395
Kansas,,2021-03-19,997844
Kansas,,2021-03-20,1035916
Kansas,,2021-03-21,1072867
Kansas,,2021-03-22,1081274
Kansas,,2021-03-23,1088988
Kansas,,2021-03-24,1115858
Kansas,,2021-03-25,1140488
Kansas,,2021-03-26,1170671
Kansas,,2021-03-27,1217475
Kansas,,2021-03-28,1249912
Kansas,,2021-03-29,1261951
Kansas,,2021-03-30,1269292
Kansas,,2021-03-31,1290992
Kansas,,2021-04-01,1311354
Kansas,,2021-04-02,1367364
Kansas,,2021-04-03,1408174
Kansas,,2021-04-04,1446575
Kansas,,2021-04-05,1456012
Kansas,,2021-04-06,1460582
Kansas,,2021-04-07,1496038
Kansas,,2021-04-08,1523795
Kansas,,2021-04-09,1558508
Kansas,,2021-04-10,1600435
Kansas,,2021-04-11,1639400
Kansas,,2021-04-12,1652045
Kansas,,2021-04-13,1662790
Kansas,,2021-04-14,1688602
Kansas,,2021-04-15,1720398
Kansas,,2021-04-16,1758086
Kansas,,2021-04-17,1790051
Kansas,,2021-04-18,1815877
Kansas,,2021-04-19,1827318
Kansas,,2021-04-20,1831938
Kansas,,2021-04-21,1850135
Kansas,,2021-04-22,1879973
Kansas,,2021-04-23,1908417
Kansas,,2021-04-24,1933363
Kansas,,2021-04-25,1956276
Kentucky,,2021-01-12,132114
Kentucky,,2021-01-13,142436
Kentucky,,2021-01-14,155613
Kentucky,,2021-01-15,174748
Kentucky,,2021-01-19,216039
Kentucky,,2021-01-20,223946
Kentucky,,2021-01-21,235143
Kentucky,,2021-01-22,254144
Kentucky,,2021-01-23,270960
Kentucky,,2021-01-24,299493
Kentucky,,2021-01-25,307462
Kentucky,,2021-01-26,312192
Kentucky,,2021-01-27,323268
Kentucky,,2021-01-28,342200
Kentucky,,2021-01-29,366643
Kentucky,,2021-01-30,386001
Kentucky,,2021-01-31,404705
Kentucky,,2021-02-01,415545
Kentucky,,2021-02-02,419562
Kentucky,,2021-02-03,435400
Kentucky,,2021-02-04,455783
Kentucky,,2021-02-05,483777
Kentucky,,2021-02-06,517168
Kentucky,,2021-02-07,548342
Kentucky,,2021-02-08,564682
Kentucky,,2021-02-09,568658
Kentucky,,2021-02-10,584947
Kentucky,,2021-02-11,608198
Kentucky,,2021-02-12,636518
Kentucky,,2021-02-13,649810
Kentucky,,2021-02-14,678768
Kentucky,,2021-02-16,711588
Kentucky,,2021-02-17,719857
Kentucky,,2021-02-18,726168
Kentucky,,2021-02-19,779109
Kentucky,,2021-02-20,796952
Kentucky,,2021-02-21,824007
